trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1540,False,"{'a': 0.001, 'e': 0.21459558975469478}",20,15,-1.9936312106216478,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1541,False,"{'a': 0.001, 'e': 0.21438110142697794}",25,0,13.191597939680895,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1542,False,"{'a': 0.001, 'e': 0.21416682748038046}",25,8,-8.416906209024202,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1543,False,"{'a': 0.001, 'e': 0.21395276770062824}",25,14,10.855217590425681,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1544,False,"{'a': 0.001, 'e': 0.2137389218736616}",30,20,19.204091394891744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1545,False,"{'a': 0.001, 'e': 0.2135252897856346}",20,0,-27.03809138637621,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1546,False,"{'a': 0.001, 'e': 0.21331187122291523}",30,10,2.09933768246072,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1547,False,"{'a': 0.001, 'e': 0.21309866597208482}",20,11,-9.347249291589478,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
1548,False,"{'a': 0.001, 'e': 0.21288567381993817}",20,0,13.729616780293814,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1549,False,"{'a': 0.001, 'e': 0.21267289455348304}",25,2,10.341354057863203,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
1550,False,"{'a': 0.001, 'e': 0.21246032795994024}",25,19,4.802008565961138,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.001, 'e': 0.21224797382674304}",20,14,14.536345491365172,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1552,False,"{'a': 0.001, 'e': 0.2120358319415374}",20,6,5.691053633605102,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1553,False,"{'a': 0.001, 'e': 0.21182390209218135}",20,12,-4.040045386350506,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
1554,False,"{'a': 0.001, 'e': 0.2116121840667451}",25,11,22.95439493390143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1555,False,"{'a': 0.001, 'e': 0.21140067765351048}",20,4,24.51246089729297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
